question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
137,1,"A data engineer is working with two tables. Each of these tables is displayed below in its entirety.

//IMG//


The data engineer runs the following query to join these tables together:

//IMG//


Which of the following will be returned by the above query?",,,,E.,,,C,single,1,13,https://www.examtopics.com/discussions/databricks/view/124091-exam-certified-data-engineer-associate-topic-1-question-68/,28,"L'explication correcte dépend de la nature des tables et de la requête SQL utilisée pour les joindre, mais comme les images des tables et de la requête ne sont pas visibles ici, je vais donner une explication générale. Lorsqu'on effectue une jointure entre deux tables, le résultat dépend du type de jointure (INNER JOIN, LEFT JOIN, RIGHT JOIN, etc.) et des conditions spécifiées. Si la réponse correcte est ""C. C"", cela signifie probablement que la jointure a été effectuée de manière à ne retourner que les lignes qui satisfont les conditions spécifiques de la requête, et que ces lignes correspondent à l'option ""C"" parmi les choix donnés. Sans plus d'informations sur les tables et la requête, il est difficile de fournir une explication plus détaillée."
138,1,"A data engineer needs to create a table in Databricks using data from a CSV file at location /path/to/csv.

They run the following command:

//IMG//


Which of the following lines of code fills in the above blank to successfully complete the task?",None of these lines of code are needed to successfully complete the task,USING CSV,FROM CSV,USING DELTA,"FROM ""path/to/csv""",,B,single,5,6,https://www.examtopics.com/discussions/databricks/view/124133-exam-certified-data-engineer-associate-topic-1-question-69/,28,"La bonne réponse est B. USING CSV. Lors de la création d'une table dans Databricks à partir d'un fichier CSV, il est nécessaire de spécifier le format du fichier source. L'utilisation de ""USING CSV"" indique que le fichier source est au format CSV, ce qui permet à Databricks de comprendre comment lire et interpréter les données. Les autres choix, tels que ""FROM CSV"" ou ""FROM 'path/to/csv'"", ne sont pas syntaxiquement corrects dans ce contexte, car ils ne spécifient pas correctement le format du fichier. ""USING DELTA"" serait utilisé si le fichier source était au format Delta, ce qui n'est pas le cas ici."
139,1,"A data engineer has realized that they made a mistake when making a daily update to a table. They need to use Delta time travel to restore the table to a version that is 3 days old. However, when the data engineer attempts to time travel to the older version, they are unable to restore the data because the data files have been deleted.
Which of the following explains why the data files are no longer present?",The VACUUM command was run on the table,The TIME TRAVEL command was run on the table,The DELETE HISTORY command was run on the table,The OPTIMIZE command was nun on the table,The HISTORY command was run on the table,,A,single,5,36,https://www.examtopics.com/discussions/databricks/view/104051-exam-certified-data-engineer-associate-topic-1-question-7/,28,"La réponse correcte est A. La commande VACUUM a été exécutée sur la table. En Delta Lake, la commande VACUUM est utilisée pour supprimer physiquement les fichiers de données obsolètes qui ne sont plus nécessaires, afin de libérer de l'espace de stockage. Lorsque VACUUM est exécuté, il supprime les fichiers de données plus anciens que la période de rétention configurée, rendant ainsi impossible le retour en arrière à une version antérieure si ces fichiers ont été supprimés. Les autres options, comme TIME TRAVEL, DELETE HISTORY, OPTIMIZE, et HISTORY, n'entraînent pas la suppression physique des fichiers de données nécessaires pour le voyage dans le temps."
140,1,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table.

The code block used by the data engineer is below:

//IMG//


If the data engineer only wants the query to process all of the available data in as many batches as required, which of the following lines of code should the data engineer use to fill in the blank?",processingTime(1),trigger(availableNow=True),trigger(parallelBatch=True),"trigger(processingTime=""once"")","trigger(continuous=""once"")",,B,single,5,7,https://www.examtopics.com/discussions/databricks/view/124299-exam-certified-data-engineer-associate-topic-1-question-70/,28,"La bonne réponse est B. trigger(availableNow=True) car cette option configure le travail de streaming structuré pour traiter toutes les données disponibles en autant de lots que nécessaire, puis s'arrêter. Cette option est idéale pour les cas où l'on souhaite traiter un ensemble de données statiques ou un instantané de données en streaming. Les autres choix ne sont pas appropriés : A. processingTime(1) et D. trigger(processingTime=""once"") se réfèrent à des intervalles de temps pour le traitement continu, tandis que C. trigger(parallelBatch=True) et E. trigger(continuous=""once"") ne sont pas des options valides dans le contexte de Spark Structured Streaming."
141,1,"A data engineer has developed a data pipeline to ingest data from a JSON source using Auto Loader, but the engineer has not provided any type inference or schema hints in their pipeline. Upon reviewing the data, the data engineer has noticed that all of the columns in the target table are of the string type despite some of the fields only including float or boolean values.

Which of the following describes why Auto Loader inferred all of the columns to be of the string type?",There was a type mismatch between the specific schema and the inferred schema,JSON data is a text-based format,Auto Loader only works with string data,All of the fields had at least one null value,Auto Loader cannot infer the schema of ingested data,,B,single,5,4,https://www.examtopics.com/discussions/databricks/view/124300-exam-certified-data-engineer-associate-topic-1-question-71/,29,"La réponse correcte est B. JSON data is a text-based format. Le format JSON est basé sur du texte, ce qui signifie que toutes les données sont initialement interprétées comme des chaînes de caractères. Auto Loader, lorsqu'il ingère des données JSON sans indications de schéma ou d'inférence de type, interprète par défaut les valeurs comme des chaînes de caractères. Cela explique pourquoi toutes les colonnes ont été inférées comme étant de type string. Les autres choix, tels que A, C, D, et E, ne s'appliquent pas ici car Auto Loader peut inférer des types autres que string si des indices ou des inférences sont fournis."
142,1,"A Delta Live Table pipeline includes two datasets defined using STREAMING LIVE TABLE. Three datasets are defined against Delta Lake table sources using LIVE TABLE.

The table is configured to run in Development mode using the Continuous Pipeline Mode.

Assuming previously unprocessed data exists and all definitions are valid, what is the expected outcome after clicking Start to update the pipeline?",All datasets will be updated once and the pipeline will shut down. The compute resources will be terminated.,All datasets will be updated at set intervals until the pipeline is shut down. The compute resources will persist until the pipeline is shut down.,All datasets will be updated once and the pipeline will persist without any processing. The compute resources will persist but go unused.,All datasets will be updated once and the pipeline will shut down. The compute resources will persist to allow for additional testing.,All datasets will be updated at set intervals until the pipeline is shut down. The compute resources will persist to allow for additional testing.,,E,single,5,15,https://www.examtopics.com/discussions/databricks/view/124177-exam-certified-data-engineer-associate-topic-1-question-72/,29,"La réponse correcte est E. En mode de pipeline continu, les tables définies avec STREAMING LIVE TABLE sont mises à jour en continu, ce qui signifie que les ensembles de données seront mis à jour à intervalles réguliers jusqu'à ce que le pipeline soit arrêté. Les ressources de calcul restent actives pour permettre des tests supplémentaires, ce qui est conforme à la configuration en mode Développement. Les autres choix, tels que A et D, impliquent que le pipeline se ferme après une seule mise à jour, ce qui n'est pas le cas en mode continu. Le choix C suggère que le pipeline persiste sans traitement, ce qui est incorrect car le mode continu implique un traitement continu."
143,1,Which of the following data workloads will utilize a Gold table as its source?,A job that enriches data by parsing its timestamps into a human-readable format,A job that aggregates uncleaned data to create standard summary statistics,A job that cleans data by removing malformatted records,A job that queries aggregated data designed to feed into a dashboard,A job that ingests raw data from a streaming source into the Lakehouse,,D,single,5,3,https://www.examtopics.com/discussions/databricks/view/124301-exam-certified-data-engineer-associate-topic-1-question-73/,29,"Le choix D est correct car une table Gold est généralement utilisée pour stocker des données prêtes pour la consommation finale, souvent sous forme de tableaux de bord ou de rapports. Ces tables contiennent des données agrégées et nettoyées, prêtes à être utilisées pour des analyses avancées ou des visualisations. En revanche, les autres choix (A, B, C, E) concernent des étapes de transformation ou de nettoyage des données qui se produisent généralement avant que les données n'atteignent le niveau Gold. Par exemple, le choix B implique l'agrégation de données non nettoyées, ce qui est typique des tables Bronze ou Silver, et non des tables Gold."
144,1,Which of the following must be specified when creating a new Delta Live Tables pipeline?,A key-value pair configuration,The preferred DBU/hour cost,A path to cloud storage location for the written data,A location of a target database for the written data,At least one notebook library to be executed,,E,single,5,17,https://www.examtopics.com/discussions/databricks/view/124135-exam-certified-data-engineer-associate-topic-1-question-74/,29,"Lors de la création d'un nouveau pipeline Delta Live Tables, il est essentiel de spécifier au moins une bibliothèque de notebooks à exécuter, ce qui correspond au choix E. Cela est nécessaire car les notebooks contiennent le code qui définit les transformations de données et la logique de traitement à appliquer dans le pipeline. Les autres choix, comme la configuration de paires clé-valeur (A), le coût DBU/heure préféré (B), le chemin vers un emplacement de stockage cloud (C), et l'emplacement d'une base de données cible (D), ne sont pas obligatoires pour la création initiale du pipeline, bien qu'ils puissent être pertinents pour la configuration et l'optimisation du pipeline."
145,1,"A data engineer has joined an existing project and they see the following query in the project repository:

CREATE STREAMING LIVE TABLE loyal_customers AS

SELECT customer_id -
FROM STREAM(LIVE.customers)
WHERE loyalty_level = 'high';

Which of the following describes why the STREAM function is included in the query?",The STREAM function is not needed and will cause an error.,The table being created is a live table.,The customers table is a streaming live table.,The customers table is a reference to a Structured Streaming query on a PySpark DataFrame.,The data in the customers table has been updated since its last run.,,C,single,5,7,https://www.examtopics.com/discussions/databricks/view/124304-exam-certified-data-engineer-associate-topic-1-question-75/,29,"La réponse correcte est C. La fonction STREAM est utilisée dans la requête pour indiquer que la table ""customers"" est une table de streaming en direct. Cela signifie que les données de cette table sont traitées en continu, et la fonction STREAM permet d'accéder aux données en temps réel. La réponse A est incorrecte car la fonction STREAM est nécessaire pour traiter les données de streaming. Les réponses B, D, et E ne sont pas pertinentes dans ce contexte car elles ne décrivent pas correctement l'utilisation de la fonction STREAM avec une table de streaming en direct."
146,1,Which of the following describes the type of workloads that are always compatible with Auto Loader?,Streaming workloads,Machine learning workloads,Serverless workloads,Batch workloads,Dashboard workloads,,A,single,5,5,https://www.examtopics.com/discussions/databricks/view/124305-exam-certified-data-engineer-associate-topic-1-question-76/,30,"Auto Loader est un outil conçu pour ingérer des données en continu, ce qui le rend particulièrement adapté aux charges de travail de type streaming. Il surveille et détecte automatiquement les nouveaux fichiers dans des sources de données telles que le stockage cloud, permettant ainsi un traitement en temps réel. Les charges de travail de type batch, machine learning, serverless et dashboard ne sont pas spécifiquement conçues pour tirer parti des capacités d'ingestion continue d'Auto Loader. Par conséquent, parmi les choix proposés, les charges de travail de streaming sont celles qui sont toujours compatibles avec Auto Loader."
147,1,"A data engineer and data analyst are working together on a data pipeline. The data engineer is working on the raw, bronze, and silver layers of the pipeline using Python, and the data analyst is working on the gold layer of the pipeline using SQL. The raw source of the pipeline is a streaming input. They now want to migrate their pipeline to use Delta Live Tables.

Which of the following changes will need to be made to the pipeline when migrating to Delta Live Tables?",None of these changes will need to be made,The pipeline will need to stop using the medallion-based multi-hop architecture,The pipeline will need to be written entirely in SQL,The pipeline will need to use a batch source in place of a streaming source,The pipeline will need to be written entirely in Python,,A,single,5,22,https://www.examtopics.com/discussions/databricks/view/124306-exam-certified-data-engineer-associate-topic-1-question-77/,30,"Delta Live Tables (DLT) prend en charge l'architecture multi-hop basée sur le modèle des médailles (bronze, argent, or), donc il n'est pas nécessaire d'abandonner cette approche (réfutant ainsi le choix B). DLT permet l'utilisation de sources de données en streaming, ce qui signifie qu'il n'est pas nécessaire de passer à une source par lots (réfutant le choix D). De plus, DLT prend en charge à la fois Python et SQL pour la définition des tables, donc il n'est pas nécessaire de réécrire le pipeline entièrement en SQL ou en Python (réfutant les choix C et E). Par conséquent, aucune de ces modifications n'est nécessaire, ce qui fait du choix A la réponse correcte."
148,1,"A data engineer is using the following code block as part of a batch ingestion pipeline to read from a composable table:

//IMG//


Which of the following changes needs to be made so this code block will work when the transactions table is a stream source?",Replace predict with a stream-friendly prediction function,"Replace schema(schema) with option (""maxFilesPerTrigger"", 1)","Replace ""transactions"" with the path to the location of the Delta table","Replace format(""delta"") with format(""stream"")",Replace spark.read with spark.readStream,,E,single,5,4,https://www.examtopics.com/discussions/databricks/view/124307-exam-certified-data-engineer-associate-topic-1-question-78/,30,"La réponse correcte est E. Remplacer spark.read par spark.readStream. Lorsqu'on lit à partir d'une source de flux, il est nécessaire d'utiliser la méthode spark.readStream au lieu de spark.read pour indiquer que les données doivent être traitées en continu. Les autres options, comme remplacer format(""delta"") par format(""stream"") ou remplacer ""transactions"" par le chemin d'accès à la table Delta, ne sont pas pertinentes dans ce contexte. De plus, l'option B, qui consiste à remplacer schema(schema) par option(""maxFilesPerTrigger"", 1), est une configuration de performance et non une exigence pour la lecture en flux. Enfin, l'option A n'est pas applicable car elle concerne une fonction de prédiction, ce qui n'est pas lié à la lecture en flux."
149,1,Which of the following queries is performing a streaming hop from raw data to a Bronze table?,,,,E.,,,E,single,1,5,https://www.examtopics.com/discussions/databricks/view/125329-exam-certified-data-engineer-associate-topic-1-question-79/,30,"La réponse correcte est E. E car un ""streaming hop"" fait référence au processus de transfert de données en continu d'une source brute vers une table Bronze. Les tables Bronze sont généralement utilisées pour stocker des données brutes ou semi-brutes dans un lac de données. Cela implique souvent la capture de données en temps réel ou quasi-temps réel, ce qui est caractéristique d'un flux de données continu. Les choix proposés ne sont pas explicitement décrits, mais la réponse E est indiquée comme correcte pour cette opération spécifique."
150,1,Which of the following Git operations must be performed outside of Databricks Repos?,Commit,Pull,Push,Clone,Merge,,E,single,5,32,https://www.examtopics.com/discussions/databricks/view/104737-exam-certified-data-engineer-associate-topic-1-question-8/,30,"Dans Databricks Repos, les opérations Git telles que Commit, Pull et Push peuvent être effectuées directement à l'intérieur de l'interface. Cependant, l'opération de Merge doit être réalisée en dehors de Databricks Repos. Cela est dû au fait que la fonctionnalité de fusion de branches nécessite souvent des résolutions de conflits et des outils avancés qui ne sont pas pris en charge dans l'environnement de Databricks. Par conséquent, pour effectuer un Merge, il est nécessaire d'utiliser un client Git externe ou une autre interface Git qui offre ces capacités."
151,1,"A dataset has been defined using Delta Live Tables and includes an expectations clause:

CONSTRAINT valid_timestamp EXPECT (timestamp > '2020-01-01') ON VIOLATION FAIL UPDATE

What is the expected behavior when a batch of data containing data that violates these constraints is processed?",Records that violate the expectation are dropped from the target dataset and recorded as invalid in the event log.,Records that violate the expectation cause the job to fail.,Records that violate the expectation are dropped from the target dataset and loaded into a quarantine table.,Records that violate the expectation are added to the target dataset and recorded as invalid in the event log.,Records that violate the expectation are added to the target dataset and flagged as invalid in a field added to the target dataset.,,B,single,5,5,https://www.examtopics.com/discussions/databricks/view/124308-exam-certified-data-engineer-associate-topic-1-question-80/,31,"La réponse correcte est B. Dans Delta Live Tables, lorsqu'une contrainte est définie avec une clause EXPECT et que l'option ON VIOLATION FAIL UPDATE est spécifiée, cela signifie que si des enregistrements ne respectent pas l'attente définie, le traitement de la mise à jour échouera. Cela est conforme au choix B, où les enregistrements qui violent l'attente font échouer le travail. Les autres choix (A, C, D, E) impliquent que les enregistrements sont soit supprimés, soit ajoutés au jeu de données cible avec différents traitements, ce qui n'est pas le cas ici puisque la contrainte entraîne un échec du traitement."
152,1,Which of the following statements regarding the relationship between Silver tables and Bronze tables is always true?,"Silver tables contain a less refined, less clean view of data than Bronze data.",Silver tables contain aggregates while Bronze data is unaggregated.,Silver tables contain more data than Bronze tables.,Silver tables contain a more refined and cleaner view of data than Bronze tables.,Silver tables contain less data than Bronze tables.,,D,single,5,4,https://www.examtopics.com/discussions/databricks/view/124309-exam-certified-data-engineer-associate-topic-1-question-81/,31,"Les tables Silver et Bronze font partie d'une architecture de données en couches souvent utilisée dans les systèmes de gestion de données, comme le Delta Lake. Les tables Bronze contiennent généralement des données brutes, telles qu'elles sont collectées, sans nettoyage ni transformation. En revanche, les tables Silver sont une version plus raffinée et nettoyée de ces données, ce qui correspond à l'énoncé D. Les choix A, B, C, et E sont incorrects car ils décrivent des caractéristiques qui ne sont pas systématiquement vraies pour la relation entre les tables Silver et Bronze. Par exemple, les tables Silver ne contiennent pas nécessairement des agrégats (B) et peuvent contenir plus ou moins de données que les tables Bronze, selon le contexte (C et E)."
153,1,"A data engineering team has noticed that their Databricks SQL queries are running too slowly when they are submitted to a non-running SQL endpoint. The data engineering team wants this issue to be resolved.

Which of the following approaches can the team use to reduce the time it takes to return results in this scenario?","They can turn on the Serverless feature for the SQL endpoint and change the Spot Instance Policy to ""Reliability Optimized.""",They can turn on the Auto Stop feature for the SQL endpoint.,They can increase the cluster size of the SQL endpoint.,They can turn on the Serverless feature for the SQL endpoint.,They can increase the maximum bound of the SQL endpoint's scaling range.,,D,single,5,10,https://www.examtopics.com/discussions/databricks/view/124310-exam-certified-data-engineer-associate-topic-1-question-82/,31,"La réponse correcte est D. Activer la fonctionnalité Serverless pour le point de terminaison SQL permet de réduire le temps nécessaire pour obtenir des résultats, car cette fonctionnalité élimine le besoin de démarrer manuellement un cluster. Contrairement aux autres options, le mode Serverless gère automatiquement les ressources et démarre instantanément, ce qui réduit considérablement le temps d'attente pour les requêtes soumises à un point de terminaison non actif. Les autres choix, comme augmenter la taille du cluster (C) ou ajuster la plage de mise à l'échelle (E), ne résolvent pas le problème de latence initiale lorsque le cluster est inactif. Activer l'Auto Stop (B) ne ferait qu'arrêter le cluster plus rapidement, ce qui n'aide pas à réduire le temps de démarrage."
154,1,"A data engineer has a Job that has a complex run schedule, and they want to transfer that schedule to other Jobs.

Rather than manually selecting each value in the scheduling form in Databricks, which of the following tools can the data engineer use to represent and submit the schedule programmatically?",pyspark.sql.types.DateType,datetime,pyspark.sql.types.TimestampType,Cron syntax,There is no way to represent and submit this information programmatically,,D,single,5,4,https://www.examtopics.com/discussions/databricks/view/124311-exam-certified-data-engineer-associate-topic-1-question-83/,31,"La réponse correcte est D. Cron syntax. La syntaxe Cron est un format largement utilisé pour exprimer des horaires de tâches complexes de manière concise et programmable. Elle permet de définir des horaires précis en utilisant une série de champs pour spécifier les minutes, heures, jours du mois, mois et jours de la semaine. Les autres choix, tels que pyspark.sql.types.DateType et pyspark.sql.types.TimestampType, sont des types de données pour manipuler des dates et des heures dans PySpark, mais ne permettent pas de définir des horaires de tâches. De même, datetime est une bibliothèque Python pour manipuler les dates et les heures, mais elle n'est pas conçue pour exprimer des horaires de tâches complexes comme le fait la syntaxe Cron."
155,1,Which of the following approaches should be used to send the Databricks Job owner an email in the case that the Job fails?,Manually programming in an alert system in each cell of the Notebook,Setting up an Alert in the Job page,Setting up an Alert in the Notebook,There is no way to notify the Job owner in the case of Job failure,MLflow Model Registry Webhooks,,B,single,5,3,https://www.examtopics.com/discussions/databricks/view/124312-exam-certified-data-engineer-associate-topic-1-question-84/,31,"La réponse correcte est B. Configurer une alerte sur la page du Job. Dans Databricks, la page du Job offre la possibilité de configurer des alertes qui peuvent envoyer des notifications par e-mail en cas d'échec du Job. Cela permet d'automatiser le processus de notification sans avoir à coder manuellement un système d'alerte dans chaque cellule du Notebook, comme le suggère l'option A. L'option C n'est pas correcte car les alertes ne sont pas configurées au niveau du Notebook lui-même. L'option D est incorrecte car il existe effectivement un moyen de notifier le propriétaire du Job. Enfin, l'option E, qui concerne les Webhooks de MLflow Model Registry, n'est pas pertinente pour la notification d'échec de Job."
156,1,"An engineering manager uses a Databricks SQL query to monitor ingestion latency for each data source. The manager checks the results of the query every day, but they are manually rerunning the query each day and waiting for the results.

Which of the following approaches can the manager use to ensure the results of the query are updated each day?",They can schedule the query to refresh every 1 day from the SQL endpoint's page in Databricks SQL.,They can schedule the query to refresh every 12 hours from the SQL endpoint's page in Databricks SQL.,They can schedule the query to refresh every 1 day from the query's page in Databricks SQL.,They can schedule the query to run every 1 day from the Jobs UI.,They can schedule the query to run every 12 hours from the Jobs UI.,,C,single,5,5,https://www.examtopics.com/discussions/databricks/view/124344-exam-certified-data-engineer-associate-topic-1-question-85/,32,"La réponse correcte est C. Dans Databricks SQL, il est possible de planifier l'actualisation d'une requête directement depuis la page de la requête elle-même. Cela permet de s'assurer que les résultats sont mis à jour automatiquement chaque jour sans intervention manuelle. Les options A et B mentionnent la planification depuis la page du point de terminaison SQL, ce qui n'est pas le moyen approprié pour planifier une requête spécifique. Les options D et E suggèrent d'utiliser l'interface des Jobs, qui est généralement utilisée pour des tâches plus complexes et non spécifiquement pour l'actualisation quotidienne d'une requête SQL simple."
157,1,In which of the following scenarios should a data engineer select a Task in the Depends On field of a new Databricks Job Task?,When another task needs to be replaced by the new task,When another task needs to fail before the new task begins,When another task has the same dependency libraries as the new task,When another task needs to use as little compute resources as possible,When another task needs to successfully complete before the new task begins,,E,single,5,3,https://www.examtopics.com/discussions/databricks/view/124345-exam-certified-data-engineer-associate-topic-1-question-86/,32,"La réponse correcte est E. Lorsqu'un ingénieur de données configure un nouveau Job Task dans Databricks, il utilise le champ ""Depends On"" pour spécifier que cette tâche doit attendre la réussite d'une autre tâche avant de commencer. Cela garantit que les dépendances entre les tâches sont respectées et que le flux de travail s'exécute dans le bon ordre. Les autres choix ne sont pas pertinents : A concerne le remplacement d'une tâche, B implique l'échec d'une tâche, C concerne les bibliothèques de dépendance, et D se concentre sur l'utilisation des ressources de calcul, aucun de ces scénarios ne nécessite l'utilisation du champ ""Depends On""."
158,1,"A data engineer has been using a Databricks SQL dashboard to monitor the cleanliness of the input data to a data analytics dashboard for a retail use case. The job has a Databricks SQL query that returns the number of store-level records where sales is equal to zero. The data engineer wants their entire team to be notified via a messaging webhook whenever this value is greater than 0.

Which of the following approaches can the data engineer use to notify their entire team via a messaging webhook whenever the number of stores with $0 in sales is greater than zero?",They can set up an Alert with a custom template.,They can set up an Alert with a new email alert destination.,They can set up an Alert with one-time notifications.,They can set up an Alert with a new webhook alert destination.,They can set up an Alert without notifications.,,D,single,5,3,https://www.examtopics.com/discussions/databricks/view/124346-exam-certified-data-engineer-associate-topic-1-question-87/,32,"La réponse correcte est D. Ils peuvent configurer une alerte avec une nouvelle destination d'alerte webhook. Lorsqu'un ingénieur de données souhaite notifier toute son équipe via un webhook de messagerie, l'utilisation d'une destination d'alerte webhook est appropriée car elle permet d'envoyer des notifications automatisées à des services de messagerie externes. Les autres options, comme A, B, C, et E, ne répondent pas au besoin spécifique d'utiliser un webhook pour les notifications. Par exemple, l'option B utilise des alertes par e-mail, et l'option E n'inclut pas de notifications, ce qui ne correspond pas à l'objectif de notifier l'équipe via un webhook."
159,1,"A data engineer wants to schedule their Databricks SQL dashboard to refresh every hour, but they only want the associated SQL endpoint to be running when it is necessary. The dashboard has multiple queries on multiple datasets associated with it. The data that feeds the dashboard is automatically processed using a Databricks Job.

Which of the following approaches can the data engineer use to minimize the total running time of the SQL endpoint used in the refresh schedule of their dashboard?",They can turn on the Auto Stop feature for the SQL endpoint.,They can ensure the dashboard's SQL endpoint is not one of the included query's SQL endpoint.,They can reduce the cluster size of the SQL endpoint.,They can ensure the dashboard's SQL endpoint matches each of the queries' SQL endpoints.,They can set up the dashboard's SQL endpoint to be serverless.,,A,single,5,6,https://www.examtopics.com/discussions/databricks/view/124178-exam-certified-data-engineer-associate-topic-1-question-88/,32,"La réponse correcte est A. Ils peuvent activer la fonctionnalité d'arrêt automatique pour le point de terminaison SQL. En activant l'arrêt automatique, le point de terminaison SQL s'arrête automatiquement après une période d'inactivité, ce qui réduit le temps total de fonctionnement et les coûts associés. Les autres options, comme réduire la taille du cluster (C) ou utiliser un point de terminaison sans serveur (E), ne garantissent pas que le point de terminaison ne fonctionnera que lorsque c'est nécessaire. Assurer que le point de terminaison SQL du tableau de bord correspond à celui des requêtes (D) ou ne pas être inclus dans les requêtes (B) ne répond pas directement à l'objectif de minimiser le temps de fonctionnement total."
160,1,"A data engineer needs access to a table new_table, but they do not have the correct permissions. They can ask the table owner for permission, but they do not know who the table owner is.

Which of the following approaches can be used to identify the owner of new_table?",Review the Permissions tab in the table's page in Data Explorer,All of these options can be used to identify the owner of the table,Review the Owner field in the table's page in Data Explorer,Review the Owner field in the table's page in the cloud storage solution,There is no way to identify the owner of the table,,C,single,5,3,https://www.examtopics.com/discussions/databricks/view/124362-exam-certified-data-engineer-associate-topic-1-question-89/,32,"La réponse correcte est C. Examiner le champ Propriétaire dans la page de la table dans Data Explorer. Cette option permet d'identifier directement le propriétaire de la table en consultant le champ spécifique dédié à cet effet dans l'interface de Data Explorer. L'option A, qui consiste à examiner l'onglet Permissions, ne garantit pas nécessairement l'identification du propriétaire, car cet onglet se concentre sur les autorisations accordées. L'option D, qui propose de vérifier le champ Propriétaire dans la solution de stockage cloud, n'est pas pertinente car les informations de propriété spécifiques à la table sont généralement gérées dans l'outil de gestion des données, comme Data Explorer. L'option E est incorrecte car il existe effectivement un moyen d'identifier le propriétaire."
161,1,Which of the following data lakehouse features results in improved data quality over a traditional data lake?,A data lakehouse provides storage solutions for structured and unstructured data.,A data lakehouse supports ACID-compliant transactions.,A data lakehouse allows the use of SQL queries to examine data.,A data lakehouse stores data in open formats.,A data lakehouse enables machine learning and artificial Intelligence workloads.,,B,single,5,32,https://www.examtopics.com/discussions/databricks/view/104743-exam-certified-data-engineer-associate-topic-1-question-9/,33,"La réponse correcte est B. Un data lakehouse qui prend en charge les transactions conformes à ACID améliore la qualité des données par rapport à un data lake traditionnel. Les transactions ACID (Atomicité, Cohérence, Isolation, Durabilité) garantissent que les opérations sur les données sont exécutées de manière fiable et que les données restent cohérentes et précises, même en cas de défaillance système. Contrairement aux data lakes traditionnels, qui peuvent souffrir de problèmes de qualité de données en raison de l'absence de telles garanties, un data lakehouse assure que toutes les modifications de données sont correctement gérées et validées. Les autres choix, bien qu'importants pour d'autres aspects, ne traitent pas directement de l'amélioration de la qualité des données."
162,1,"A new data engineering team team has been assigned to an ELT project. The new data engineering team will need full privileges on the table sales to fully manage the project.

Which of the following commands can be used to grant full permissions on the database to the new data engineering team?",GRANT ALL PRIVILEGES ON TABLE sales TO team;,GRANT SELECT CREATE MODIFY ON TABLE sales TO team;,GRANT SELECT ON TABLE sales TO team;,GRANT USAGE ON TABLE sales TO team;,GRANT ALL PRIVILEGES ON TABLE team TO sales;,,A,single,5,5,https://www.examtopics.com/discussions/databricks/view/124373-exam-certified-data-engineer-associate-topic-1-question-90/,33,"La commande correcte pour accorder tous les privilèges à l'équipe d'ingénierie des données sur la table ""sales"" est la réponse A : ""GRANT ALL PRIVILEGES ON TABLE sales TO team;"". Cette commande permet à l'équipe de gérer entièrement la table, y compris les opérations de sélection, d'insertion, de mise à jour et de suppression. Les autres choix, comme B et C, ne couvrent pas tous ces aspects, car ils ne mentionnent pas explicitement tous les privilèges nécessaires. De plus, la réponse E inverse les rôles des objets, et la réponse D ne fournit que l'accès de base sans autorisations de modification."
163,1,Which data lakehouse feature results in improved data quality over a traditional data lake?,A data lakehouse stores data in open formats.,A data lakehouse allows the use of SQL queries to examine data.,A data lakehouse provides storage solutions for structured and unstructured data.,A data lakehouse supports ACID-compliant transactions.,,,D,single,4,2,https://www.examtopics.com/discussions/databricks/view/142524-exam-certified-data-engineer-associate-topic-1-question-91/,33,"La réponse correcte est D. Un data lakehouse prend en charge les transactions conformes à ACID. Les transactions ACID (Atomicité, Cohérence, Isolation, Durabilité) garantissent que les opérations sur les données sont effectuées de manière fiable et cohérente, ce qui améliore la qualité des données en évitant les anomalies et les incohérences. Contrairement aux data lakes traditionnels, qui peuvent manquer de mécanismes robustes pour garantir l'intégrité des données, le support des transactions ACID dans un data lakehouse assure que les modifications des données sont complètes et que les données restent précises et fiables. Les autres choix, bien qu'importants, ne se concentrent pas directement sur l'amélioration de la qualité des données de la même manière que les transactions ACID."
164,1,In which scenario will a data team want to utilize cluster pools?,An automated report needs to be version-controlled across multiple collaborators.,An automated report needs to be runnable by all stakeholders.,An automated report needs to be refreshed as quickly as possible.,An automated report needs to be made reproducible.,,,C,single,4,2,https://www.examtopics.com/discussions/databricks/view/141229-exam-certified-data-engineer-associate-topic-1-question-92/,33,"Les pools de clusters sont utilisés pour réduire le temps de démarrage des clusters en pré-allouant des ressources, ce qui permet d'exécuter des tâches plus rapidement. Dans le scénario C, où un rapport automatisé doit être actualisé le plus rapidement possible, l'utilisation de pools de clusters est idéale car elle minimise le temps d'attente pour la disponibilité des ressources. Les autres choix, tels que A, B et D, ne concernent pas directement la rapidité d'exécution ou l'optimisation du temps de traitement, mais plutôt des aspects de collaboration, d'accessibilité et de reproductibilité."
